title_field,field_city,field_valuation,field_cap_rate,field_land_area,field_building_areas,field_urbis_supplied,field_adopted,field_site_utilisation,field_urbis_no_site_utilisation,field_adopted_site_utilisation,field_retail_liquour_outlet,
Blacktown Inn Hotel,Sydney,"8,500,000",6.45%,"14,559","3,751","3,751","3,751",26%,26%,26%,DM,
Brown Jug Hotel,Sydney,"8,980,000",6.55%,"8,140","1,377","1,377","1,377",17%,17%,17%,BWS,
Colyton Hotel,Sydney,"12,750,000",6.67%,"19,300","3,477","3,477","3,477",18%,18%,18%,DM,
Crows Nest Hotel,Sydney,"12,600,000",6.69%,835,835,804,835,100%,96%,100%,N,
Melton Hotel,Sydney,"5,370,000",5.87%,"3,598",652,652,652,18%,18%,18%,N,
Narrabeen Sands Hotel,Sydney,"10,920,000",6.59%,"2,240","2,240","1,690","1,690",100%,75%,75%,BWS,Strata
New Brighton Hotel,Sydney,"14,210,000",5.63%,417,417,400,417,100%,96%,100%,N,
Pioneer Tavern,Sydney,"9,270,000",6.31%,"7,493","1,957","1,957","1,957",26%,26%,26%,DM,
Pritchards Hotel,Sydney,"18,880,000",7.68%,"9,833","1,245","1,245","1,245",13%,13%,13%,BWS,
Smithfield Hotel,Sydney,"6,580,000",6.45%,"5,507","2,173","2,173","2,173",39%,39%,39%,BWS,
Albany Creek Tavern,Brisbane,"11,450,000",6.71%,"20,080","2,008","2,337","2,337",10%,12%,12%,DM,
Alderley Arms Hotel,Brisbane,"5,050,000",6.20%,"5,423","1,550","1,550","1,550",29%,29%,29%,DM,
Anglers Arms Hotel,Brisbane,"7,320,000",6.45%,"4,249","2,075","2,075","2,075",49%,49%,49%,BWS,
Balaclava Hotel,"Cairns, Queensland","5,690,000",6.57%,"14,100","2,800","2,800","2,800",20%,20%,20%,DM,
Breakfast Creek Hotel,Brisbane,"13,790,000",6.00%,"4,035","2,600","2,600","2,600",64%,64%,64%,Breakfast Creek Bottleshop,
Burleigh Heads Hotel,Gold Coast,"10,990,000",6.24%,"2,496","4,035","2,393","2,393",162%,96%,96%,BWS,Strata
Camp Hill Hotel,Brisbane,"3,230,000",6.41%,"10,790","2,010","2,010","2,010",19%,19%,19%,BWS,
Chardons Corner Hotel,Brisbane,"1,920,000",5.73%,"5,663","1,765","1,765","1,765",31%,31%,31%,BWS,
Dalrymple Hotel,"Townsville, Queensland","5,450,000",6.57%,"21,220","5,250","5,250","5,250",25%,25%,25%,DM,
Edge Hill Tavern,"Cairns, Queensland","4,460,000",6.57%,"13,610","2,755","2,755","2,755",20%,20%,20%,BWS,
Edinburgh Castle Hotel,Brisbane,"4,660,000",6.96%,"4,140","1,295","1,295","1,295",31%,31%,31%,BWS,
Four Mile Creek,Brisbane,"5,840,000",6.75%,"3,644","1,267","1,267","1,267",35%,35%,35%,BWS,
Hamilton Hotel,Brisbane,"9,080,000",6.07%,"10,006","3,255","3,255","3,255",33%,33%,33%,DM,
Holland Park Hotel,Brisbane,"6,110,000",6.23%,"7,277","2,550","2,550","2,550",35%,35%,35%,DM,
Kedron Park Hotel,Brisbane,"3,270,000",6.00%,"6,028","4,900","1,296","1,296",81%,21%,21%,BWS,
Kirwan Tavern,"Townsville, Queensland","8,300,000",6.39%,"20,250","2,550","3,810","3,810",13%,19%,19%,DM & BWS,
Lawnton Tavern,Brisbane,"6,750,000",6.96%,"9,498","2,037","2,037","2,037",21%,21%,21%,BWS,
Miami Hotel,Gold Coast,"8,150,000",5.64%,"5,544","1,469","1,469","1,469",26%,26%,26%,BWS,
Mount Gravatt Hotel,Brisbane,"4,770,000",6.37%,"7,478","1,912","1,912","1,912",26%,26%,26%,BWS,
Mount Pleasant Hotel,"Mackay, Queensland","3,150,000",6.72%,"16,151","1,260","1,260","1,260",8%,8%,8%,BWS,
Noosa Reef Hotel,Sunshine Coast,"11,410,000",6.35%,"5,069","5,069","1,831","1,831",100%,36%,36%,BWS,Strata
Nudgee Beach Hotel,Brisbane,"4,050,000",6.39%,"24,000","2,263","2,263","2,263",9%,9%,9%,BWS,
Palm Beach Hotel,Gold Coast,"10,800,000",6.64%,"5,050","2,235","2,235","2,235",44%,44%,44%,BWS,
Pelican Waters Hotel,Sunshine Coast,"6,420,000",6.73%,"8,695","1,522","1,522","1,522",18%,18%,18%,BWS,
Prince of Wales,Brisbane,"5,480,000",6.72%,"1,976",790,"1,178","1,178",40%,40%,40%,BWS,
Racehorse Hotel,Brisbane,"2,860,000",6.01%,"29,900","4,011","4,011","4,011",13%,13%,13%,DM,
Redland Bay Hotel,Brisbane,"8,000,000",5.16%,"18,300","1,411","1,411","1,411",8%,8%,8%,BWS,
Royal Exchange Hotel,Brisbane,"8,560,000",6.22%,"2,453","1,368","1,368","1,368",56%,56%,56%,BWS,
Springwood Tavern,Brisbane,"13,030,000",6.63%,"22,650","5,796","5,796","5,796",26%,26%,26%,DM,
Stones Corner Tavern,Brisbane,"8,710,000",6.48%,"2,716","1,609","1,609","1,609",59%,59%,59%,BWS,
Vale Hotel,"Townsville, Queensland","9,630,000",7.04%,"22,169","3,600","5,465","5,465",16%,25%,25%,DM,
Wilsonton Hotel,"Toowomba, Queensland","7,580,000",6.72%,"16,800","3,608","3,608","3,608",21%,21%,21%,BWS,
Aberfoyle Hub Tavern,Adeilade,"5,470,000",6.70%,"7,493","1,381","1,381","1,381",18%,18%,18%,BWS,
Eureka Hotel,Adeilade,"5,650,000",6.69%,"7,747","1,827","1,827","1,827",24%,24%,24%,BWS,
